gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
A1BG	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
A1BG-AS1	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
A1CF	2	7925	8	21189	1.0000e+00	6.6846e-01	6.9135e-02	3.3505e+00
A2M	4	7923	11	21186	1.0000e+00	9.7234e-01	2.2575e-01	3.2824e+00
A2ML1	9	7918	35	21162	3.9708e-01	6.8728e-01	2.9038e-01	1.4593e+00
A3GALT2	2	7925	14	21183	2.6372e-01	3.8189e-01	4.2114e-02	1.6632e+00
A4GALT	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
A4GNT	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
AA06	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
AAAS	4	7923	12	21185	1.0000e+00	8.9129e-01	2.0945e-01	2.9419e+00
AACS	9	7918	10	21187	6.7421e-02	2.4082e+00	8.6546e-01	6.5962e+00
AADAC	2	7925	7	21190	1.0000e+00	7.6397e-01	7.7418e-02	4.0135e+00
AADACL2	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
AADACL3	2	7925	3	21194	6.1810e-01	1.7828e+00	1.4887e-01	1.5561e+01
AADACL4	3	7924	8	21189	1.0000e+00	1.0028e+00	1.7129e-01	4.1793e+00
AADAT	3	7924	1	21196	6.4178e-02	8.0236e+00	6.4417e-01	4.2027e+02
AAGAB	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
AAMDC	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
AAMP	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
AAR2	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
AARD	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
AARS	4	7923	5	21192	2.6678e-01	2.1398e+00	4.2447e-01	9.9453e+00
AARS2	6	7921	13	21184	6.1541e-01	1.2344e+00	3.8456e-01	3.4822e+00
AARSD1	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
AASDH	9	7918	14	21183	2.3939e-01	1.7198e+00	6.5636e-01	4.2678e+00
AASDHPPT	4	7923	5	21192	2.6678e-01	2.1398e+00	4.2447e-01	9.9453e+00
AASS	2	7925	9	21188	7.3798e-01	5.9411e-01	6.2454e-02	2.8714e+00
AATF	4	7923	8	21189	7.4573e-01	1.3372e+00	2.9458e-01	4.9929e+00
AATK	7	7920	11	21186	2.9058e-01	1.7022e+00	5.5931e-01	4.8102e+00
ABAT	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
ABCA1	11	7916	10	21187	1.3860e-02	2.9440e+00	1.1346e+00	7.7366e+00
ABCA10	11	7916	23	21174	5.6275e-01	1.2793e+00	5.6272e-01	2.7330e+00
ABCA12	5	7922	10	21187	5.6980e-01	1.3372e+00	3.5852e-01	4.2955e+00
ABCA13	21	7906	47	21150	4.9655e-01	1.1952e+00	6.7824e-01	2.0407e+00
ABCA2	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
ABCA3	6	7921	6	21191	1.0074e-01	2.6752e+00	7.1495e-01	1.0010e+01
ABCA4	10	7917	20	21177	4.1986e-01	1.3374e+00	5.5883e-01	2.9952e+00
ABCA5	10	7917	23	21174	6.9692e-01	1.1628e+00	4.9377e-01	2.5416e+00
ABCA6	13	7914	19	21178	1.0988e-01	1.8308e+00	8.3070e-01	3.9102e+00
ABCA7	18	7909	53	21144	7.9062e-01	9.0795e-01	5.0021e-01	1.5764e+00
ABCA8	12	7915	23	21174	3.4545e-01	1.3957e+00	6.3259e-01	2.9243e+00
ABCA9	8	7919	28	21169	5.7819e-01	7.6379e-01	3.0069e-01	1.7210e+00
ABCB1	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
ABCB10	4	7923	8	21189	7.4573e-01	1.3372e+00	2.9458e-01	4.9929e+00
ABCB11	4	7923	6	21191	4.7567e-01	1.7830e+00	3.6998e-01	7.5212e+00
ABCB4	6	7921	16	21181	1.0000e+00	1.0028e+00	3.2126e-01	2.6990e+00
ABCB5	7	7920	17	21180	8.2021e-01	1.1011e+00	3.8591e-01	2.7953e+00
ABCB6	4	7923	15	21182	7.9664e-01	7.1296e-01	1.7221e-01	2.2388e+00
ABCB7	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
ABCB8	1	7926	9	21188	3.0434e-01	2.9702e-01	6.7795e-03	2.1442e+00
ABCB9	6	7921	7	21190	1.2956e-01	2.2930e+00	6.3641e-01	7.9706e+00
ABCC1	1	7926	9	21188	3.0434e-01	2.9702e-01	6.7795e-03	2.1442e+00
ABCC10	7	7920	17	21180	8.2021e-01	1.1011e+00	3.8591e-01	2.7953e+00
ABCC11	9	7918	17	21180	3.8401e-01	1.4161e+00	5.5597e-01	3.3604e+00
ABCC12	9	7918	22	21175	8.4055e-01	1.0940e+00	4.4323e-01	2.4733e+00
ABCC2	10	7917	23	21174	6.9692e-01	1.1628e+00	4.9377e-01	2.5416e+00
