gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
A1BG	3	7924	8	21189	1.0000e+00	1.0028e+00	1.7129e-01	4.1793e+00
A1BG-AS1	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
A1CF	2	7925	14	21183	2.6372e-01	3.8189e-01	4.2114e-02	1.6632e+00
A2M	5	7922	17	21180	8.1185e-01	7.8636e-01	2.2673e-01	2.2214e+00
A2ML1	18	7909	54	21143	7.9101e-01	8.9110e-01	4.9152e-01	1.5445e+00
A3GALT2	7	7920	18	21179	1.0000e+00	1.0399e+00	3.6696e-01	2.6106e+00
A4GALT	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
A4GNT	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
AA06	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
AAAS	9	7918	21	21176	6.8630e-01	1.1462e+00	4.6195e-01	2.6119e+00
AACS	11	7916	15	21182	1.1936e-01	1.9623e+00	8.1485e-01	4.5746e+00
AADAC	2	7925	13	21184	3.8265e-01	4.1128e-01	4.5049e-02	1.8171e+00
AADACL2	5	7922	8	21189	3.5909e-01	1.6717e+00	4.3013e-01	5.7984e+00
AADACL3	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
AADACL4	3	7924	9	21188	1.0000e+00	8.9131e-01	1.5515e-01	3.5728e+00
AADAT	3	7924	3	21194	3.5461e-01	2.6746e+00	3.5815e-01	1.9972e+01
AAGAB	4	7923	7	21190	5.0447e-01	1.5283e+00	3.2799e-01	6.0135e+00
AAMDC	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
AAMP	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
AAR2	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
AARD	4	7923	5	21192	2.6678e-01	2.1398e+00	4.2447e-01	9.9453e+00
AARS	5	7922	8	21189	3.5909e-01	1.6717e+00	4.3013e-01	5.7984e+00
AARS2	8	7919	22	21175	1.0000e+00	9.7233e-01	3.7414e-01	2.2688e+00
AARSD1	4	7923	13	21184	1.0000e+00	8.2270e-01	1.9536e-01	2.6641e+00
AASDH	14	7913	22	21175	1.3305e-01	1.7029e+00	8.0532e-01	3.4827e+00
AASDHPPT	6	7921	6	21191	1.0074e-01	2.6752e+00	7.1495e-01	1.0010e+01
AASS	3	7924	15	21182	4.3073e-01	5.3462e-01	9.9183e-02	1.8907e+00
AATF	7	7920	16	21181	8.1473e-01	1.1700e+00	4.0691e-01	3.0072e+00
AATK	7	7920	13	21184	4.5328e-01	1.4402e+00	4.8635e-01	3.8857e+00
ABAT	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
ABCA1	12	7915	12	21185	1.9422e-02	2.6765e+00	1.0993e+00	6.5158e+00
ABCA10	17	7910	62	21135	3.1101e-01	7.3265e-01	4.0128e-01	1.2701e+00
ABCA12	10	7917	17	21180	2.7928e-01	1.5737e+00	6.4365e-01	3.6408e+00
ABCA13	42	7885	122	21075	7.2493e-01	9.2015e-01	6.3134e-01	1.3179e+00
ABCA2	0	7927	6	21191	1.9913e-01	0.0000e+00	0.0000e+00	2.2710e+00
ABCA3	6	7921	7	21190	1.2956e-01	2.2930e+00	6.3641e-01	7.9706e+00
ABCA4	16	7911	30	21167	2.4852e-01	1.4270e+00	7.2607e-01	2.7041e+00
ABCA5	16	7911	42	21155	1.0000e+00	1.0187e+00	5.3433e-01	1.8516e+00
ABCA6	15	7912	46	21151	7.7347e-01	8.7173e-01	4.5181e-01	1.5910e+00
ABCA7	33	7894	93	21104	8.4159e-01	9.4865e-01	6.1696e-01	1.4264e+00
ABCA8	18	7909	52	21145	8.9317e-01	9.2546e-01	5.0918e-01	1.6095e+00
ABCA9	15	7912	49	21148	5.7494e-01	8.1825e-01	4.2592e-01	1.4846e+00
ABCB1	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
ABCB10	8	7919	19	21178	8.2896e-01	1.1260e+00	4.2626e-01	2.6951e+00
ABCB11	5	7922	7	21190	3.2785e-01	1.9107e+00	4.7801e-01	6.9949e+00
ABCB4	7	7920	16	21181	8.1473e-01	1.1700e+00	4.0691e-01	3.0072e+00
ABCB5	21	7906	34	21163	7.0300e-02	1.6533e+00	9.1125e-01	2.9340e+00
ABCB6	11	7916	31	21166	1.0000e+00	9.4879e-01	4.3004e-01	1.9405e+00
ABCB7	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
ABCB8	2	7925	20	21177	5.7312e-02	2.6721e-01	3.0280e-02	1.1005e+00
ABCB9	6	7921	9	21188	2.5759e-01	1.7832e+00	5.2213e-01	5.6110e+00
ABCC1	1	7926	21	21176	1.4590e-02	1.2723e-01	3.0799e-03	7.9135e-01
ABCC10	11	7916	29	21168	1.0000e+00	1.0143e+00	4.5695e-01	2.0928e+00
ABCC11	19	7908	41	21156	4.6788e-01	1.2398e+00	6.7918e-01	2.1865e+00
ABCC12	17	7910	39	21158	6.5203e-01	1.1659e+00	6.1808e-01	2.1115e+00
ABCC2	15	7912	44	21153	8.8374e-01	9.1144e-01	4.7086e-01	1.6707e+00
ABCC3	8	7919	30	21167	4.6870e-01	7.1281e-01	2.8223e-01	1.5923e+00
ABCC4	4	7923	7	21190	5.0447e-01	1.5283e+00	3.2799e-01	6.0135e+00
ABCC5	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
ABCC6	14	7913	35	21162	8.7246e-01	1.0697e+00	5.3140e-01	2.0406e+00
ABCC8	3	7924	16	21181	3.1475e-01	5.0119e-01	9.3559e-02	1.7516e+00
ABCC9	8	7919	15	21182	4.8136e-01	1.4266e+00	5.2360e-01	3.5860e+00
ABCD2	2	7925	4	21193	6.6646e-01	1.3371e+00	1.2090e-01	9.3321e+00
ABCD3	1	7926	7	21190	6.9163e-01	3.8197e-01	8.4770e-03	2.9736e+00
ABCD4	1	7926	9	21188	3.0434e-01	2.9702e-01	6.7795e-03	2.1442e+00
ABCE1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
ABCF1	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
ABCF2	2	7925	3	21194	6.1810e-01	1.7828e+00	1.4887e-01	1.5561e+01
ABCF3	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
ABCG1	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
ABCG2	14	7913	27	21170	3.7915e-01	1.3872e+00	6.7195e-01	2.7414e+00
ABCG4	3	7924	9	21188	1.0000e+00	8.9131e-01	1.5515e-01	3.5728e+00
ABCG5	5	7922	16	21181	1.0000e+00	8.3554e-01	2.3930e-01	2.3879e+00
ABCG8	7	7920	18	21179	1.0000e+00	1.0399e+00	3.6696e-01	2.6106e+00
ABHD1	8	7919	22	21175	1.0000e+00	9.7233e-01	3.7414e-01	2.2688e+00
