gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
A1BG	26	7901	57	21140	3.8948e-01	1.2205e+00	7.3597e-01	1.9746e+00
A1CF	14	7913	47	21150	5.6461e-01	7.9617e-01	4.0458e-01	1.4720e+00
A2M	33	7894	92	21105	9.1986e-01	9.5902e-01	6.2335e-01	1.4430e+00
A2ML1	42	7885	123	21074	6.6141e-01	9.1262e-01	6.2640e-01	1.3065e+00
A3GALT2	20	7907	39	21158	2.4421e-01	1.3722e+00	7.5780e-01	2.4122e+00
A4GALT	23	7904	51	21146	4.3564e-01	1.2065e+00	7.0324e-01	2.0120e+00
A4GNT	9	7918	34	21163	3.9667e-01	7.0753e-01	2.9830e-01	1.5071e+00
AAAS	16	7911	56	21141	4.2612e-01	7.6355e-01	4.0857e-01	1.3511e+00
AACS	19	7908	72	21125	1.9504e-01	7.0497e-01	4.0116e-01	1.1827e+00
AADAC	11	7916	38	21159	5.2301e-01	7.7376e-01	3.5654e-01	1.5457e+00
AADACL2	7	7920	35	21162	1.6386e-01	5.3439e-01	2.0023e-01	1.2217e+00
AADACL3	14	7913	39	21158	1.0000e+00	9.5987e-01	4.8110e-01	1.8082e+00
AADACL4	14	7913	32	21165	6.2061e-01	1.1702e+00	5.7660e-01	2.2575e+00
AADAT	12	7915	31	21166	8.6563e-01	1.0352e+00	4.8388e-01	2.0743e+00
AAGAB	9	7918	20	21177	6.7699e-01	1.2035e+00	4.8233e-01	2.7665e+00
AAK1	25	7902	57	21140	5.3448e-01	1.1733e+00	7.0194e-01	1.9102e+00
AAMDC	9	7918	19	21178	5.2990e-01	1.2670e+00	5.0461e-01	2.9403e+00
AAMP	16	7911	35	21162	5.2919e-01	1.2229e+00	6.3159e-01	2.2699e+00
AANAT	11	7916	31	21166	1.0000e+00	9.4879e-01	4.3004e-01	1.9405e+00
AAR2	8	7919	26	21171	7.0422e-01	8.2261e-01	3.2176e-01	1.8720e+00
AARD	4	7923	12	21185	1.0000e+00	8.9129e-01	2.0945e-01	2.9419e+00
AARS	30	7897	99	21098	3.7204e-01	8.0960e-01	5.1887e-01	1.2300e+00
AARS2	36	7891	87	21110	6.1224e-01	1.1070e+00	7.2830e-01	1.6517e+00
AARSD1	33	7894	46	21151	5.1184e-03	1.9222e+00	1.1897e+00	3.0744e+00
AASDH	25	7902	80	21117	5.0987e-01	8.3512e-01	5.1012e-01	1.3239e+00
AASDHPPT	7	7920	21	21176	1.0000e+00	8.9125e-01	3.1993e-01	2.1774e+00
AASS	22	7905	52	21145	6.0314e-01	1.1317e+00	6.5405e-01	1.8977e+00
AATF	16	7911	52	21145	5.8575e-01	8.2243e-01	4.3801e-01	1.4644e+00
AATK	103	7824	207	20990	2.0717e-02	1.3349e+00	1.0420e+00	1.7014e+00
ABAT	26	7901	65	21132	8.1351e-01	1.0698e+00	6.5097e-01	1.7113e+00
ABCA1	75	7852	219	20978	5.5347e-01	9.1496e-01	6.9335e-01	1.1961e+00
ABCA10	49	7878	86	21111	1.9963e-02	1.5268e+00	1.0514e+00	2.1955e+00
ABCA12	72	7855	183	21014	7.2395e-01	1.0526e+00	7.8892e-01	1.3916e+00
ABCA13	134	7793	365	20832	8.7914e-01	9.8138e-01	7.9764e-01	1.2016e+00
ABCA2	150	7777	443	20754	3.0521e-01	9.0361e-01	7.4441e-01	1.0919e+00
ABCA3	107	7820	225	20972	4.0800e-02	1.2754e+00	1.0020e+00	1.6150e+00
ABCA4	72	7855	194	21003	1.0000e+00	9.9235e-01	7.4544e-01	1.3087e+00
ABCA5	36	7891	101	21096	8.4794e-01	9.5292e-01	6.3191e-01	1.4082e+00
ABCA6	28	7899	106	21091	1.1900e-01	7.0533e-01	4.4722e-01	1.0792e+00
ABCA7	106	7821	254	20943	3.4073e-01	1.1175e+00	8.8099e-01	1.4094e+00
ABCA8	65	7862	123	21074	2.6280e-02	1.4165e+00	1.0310e+00	1.9308e+00
ABCA9	48	7879	103	21094	2.0080e-01	1.2477e+00	8.6582e-01	1.7758e+00
ABCB1	28	7899	75	21122	1.0000e+00	9.9830e-01	6.2203e-01	1.5611e+00
ABCB10	30	7897	86	21111	8.3450e-01	9.3255e-01	5.9343e-01	1.4293e+00
ABCB11	48	7879	114	21083	4.7989e-01	1.1267e+00	7.8600e-01	1.5935e+00
ABCB4	30	7897	95	21102	4.8097e-01	8.4385e-01	5.3973e-01	1.2852e+00
ABCB5	38	7889	92	21105	6.2163e-01	1.1050e+00	7.3580e-01	1.6307e+00
ABCB6	29	7898	88	21109	6.0377e-01	8.8078e-01	5.5750e-01	1.3550e+00
ABCB7	7	7920	22	21175	8.3623e-01	8.5070e-01	3.0683e-01	2.0629e+00
ABCB8	23	7904	83	21114	2.2936e-01	7.4026e-01	4.4467e-01	1.1876e+00
ABCB9	51	7876	105	21092	1.2572e-01	1.3007e+00	9.1111e-01	1.8363e+00
ABCC1	87	7840	231	20966	9.4954e-01	1.0072e+00	7.7674e-01	1.2961e+00
ABCC10	65	7862	166	21031	7.6664e-01	1.0474e+00	7.7294e-01	1.4052e+00
ABCC11	55	7872	112	21085	9.8056e-02	1.3153e+00	9.3367e-01	1.8341e+00
ABCC12	41	7886	87	21110	2.3234e-01	1.2615e+00	8.4744e-01	1.8508e+00
ABCC2	41	7886	94	21103	4.3800e-01	1.1672e+00	7.8757e-01	1.7033e+00
ABCC3	64	7863	160	21037	6.5141e-01	1.0702e+00	7.8703e-01	1.4405e+00
ABCC4	42	7885	127	21070	5.4423e-01	8.8371e-01	6.0741e-01	1.2630e+00
ABCC5	42	7885	129	21068	4.9066e-01	8.6993e-01	5.9834e-01	1.2423e+00
ABCC6	65	7862	146	21051	2.4454e-01	1.1920e+00	8.7484e-01	1.6093e+00
ABCC8	75	7852	175	21022	3.1838e-01	1.1474e+00	8.6238e-01	1.5142e+00
ABCC9	39	7888	102	21095	9.2447e-01	1.0225e+00	6.8750e-01	1.4939e+00
ABCD1	22	7905	55	21142	7.9799e-01	1.0698e+00	6.2077e-01	1.7847e+00
ABCD2	17	7910	41	21156	7.6776e-01	1.1090e+00	5.9032e-01	1.9968e+00
ABCD3	18	7909	33	21164	2.0808e-01	1.4596e+00	7.7333e-01	2.6703e+00
ABCD4	31	7896	81	21116	9.1542e-01	1.0235e+00	6.5319e-01	1.5674e+00
ABCE1	8	7919	30	21167	4.6870e-01	7.1281e-01	2.8223e-01	1.5923e+00
ABCF1	16	7911	57	21140	3.5767e-01	7.5012e-01	4.0183e-01	1.3254e+00
ABCF2	13	7914	38	21159	8.7562e-01	9.1466e-01	4.4683e-01	1.7564e+00
ABCF3	22	7905	53	21144	6.9710e-01	1.1103e+00	6.4258e-01	1.8584e+00
ABCG1	38	7889	104	21093	1.0000e+00	9.7693e-01	6.5471e-01	1.4306e+00
ABCG2	19	7908	42	21155	4.7431e-01	1.2101e+00	6.6432e-01	2.1286e+00
ABCG4	31	7896	63	21134	2.0377e-01	1.3170e+00	8.2723e-01	2.0574e+00
ABCG5	24	7903	62	21135	9.0353e-01	1.0352e+00	6.1743e-01	1.6842e+00
ABCG8	28	7899	72	21125	8.2299e-01	1.0400e+00	6.4648e-01	1.6313e+00
ABHD1	16	7911	28	21169	1.7703e-01	1.5291e+00	7.7234e-01	2.9273e+00
ABHD10	7	7920	11	21186	2.9058e-01	1.7022e+00	5.5931e-01	4.8102e+00
ABHD11	15	7912	35	21162	6.3586e-01	1.1463e+00	5.8129e-01	2.1554e+00
ABHD12	11	7916	48	21149	1.8636e-01	6.1224e-01	2.8658e-01	1.1963e+00
ABHD12B	15	7912	25	21172	1.5547e-01	1.6055e+00	7.8655e-01	3.1684e+00
ABHD13	19	7908	24	21173	1.6063e-02	2.1196e+00	1.0970e+00	4.0397e+00
ABHD14A	12	7915	23	21174	3.4545e-01	1.3957e+00	6.3259e-01	2.9243e+00
ABHD14A-ACY1	15	7912	29	21168	3.1097e-01	1.3838e+00	6.8914e-01	2.6685e+00
ABHD14B	7	7920	25	21172	5.5823e-01	7.4853e-01	2.7326e-01	1.7811e+00
ABHD15	24	7903	58	21139	7.0941e-01	1.1068e+00	6.5720e-01	1.8110e+00
ABHD16A	14	7913	33	21164	7.4293e-01	1.1347e+00	5.6070e-01	2.1803e+00
ABHD16B	20	7907	53	21144	1.0000e+00	1.0091e+00	5.7104e-01	1.7178e+00
ABHD17A	28	7899	83	21114	7.4857e-01	9.0174e-01	5.6506e-01	1.4001e+00
ABHD17B	11	7916	35	21162	7.4074e-01	8.4020e-01	3.8472e-01	1.6936e+00
ABHD17C	16	7911	29	21168	2.3968e-01	1.4763e+00	7.4848e-01	2.8113e+00
ABHD18	9	7918	29	21168	7.1778e-01	8.2969e-01	3.4535e-01	1.8012e+00
ABHD2	16	7911	41	21156	8.8202e-01	1.0436e+00	5.4633e-01	1.9017e+00
ABHD3	11	7916	23	21174	5.6275e-01	1.2793e+00	5.6272e-01	2.7330e+00
ABHD4	9	7918	30	21167	7.1895e-01	8.0200e-01	3.3475e-01	1.7337e+00
ABHD5	8	7919	31	21166	4.7110e-01	6.8979e-01	2.7383e-01	1.5348e+00
ABHD6	8	7919	31	21166	4.7110e-01	6.8979e-01	2.7383e-01	1.5348e+00
ABHD8	13	7914	38	21159	8.7562e-01	9.1466e-01	4.4683e-01	1.7564e+00
ABI1	6	7921	31	21166	1.4366e-01	5.1718e-01	1.7634e-01	1.2589e+00
ABI2	22	7905	45	21152	3.3558e-01	1.3081e+00	7.4757e-01	2.2261e+00
ABI3	18	7909	42	21155	6.6325e-01	1.1463e+00	6.2070e-01	2.0365e+00
ABI3BP	23	7904	73	21124	5.6574e-01	8.4205e-01	5.0242e-01	1.3626e+00
ABL1	49	7878	149	21048	4.7130e-01	8.7863e-01	6.2212e-01	1.2223e+00
ABL2	41	7886	97	21100	5.0314e-01	1.1309e+00	7.6442e-01	1.6469e+00
ABLIM1	34	7893	91	21106	1.0000e+00	9.9908e-01	6.5251e-01	1.4980e+00
ABLIM2	32	7895	99	21098	5.5494e-01	8.6379e-01	5.6039e-01	1.2997e+00
ABLIM3	25	7902	64	21133	9.0507e-01	1.0447e+00	6.2985e-01	1.6838e+00
ABO	13	7914	52	21145	2.1132e-01	6.6800e-01	3.3347e-01	1.2449e+00
ABR	30	7897	105	21092	2.0832e-01	7.6313e-01	4.9042e-01	1.1556e+00
ABRA	8	7919	32	21165	3.7565e-01	6.6821e-01	2.6592e-01	1.4814e+00
ABRACL	4	7923	10	21187	1.0000e+00	1.0696e+00	2.4480e-01	3.7097e+00
ABRAXAS1	12	7915	30	21167	8.6261e-01	1.0697e+00	4.9854e-01	2.1528e+00
ABRAXAS2	14	7913	38	21159	1.0000e+00	9.8514e-01	4.9277e-01	1.8612e+00
ABT1	15	7912	27	21170	2.2575e-01	1.4865e+00	7.3461e-01	2.8974e+00
ABTB1	23	7904	67	21130	8.1276e-01	9.1771e-01	5.4488e-01	1.4945e+00
ABTB2	54	7873	121	21076	2.6956e-01	1.1946e+00	8.4937e-01	1.6615e+00
AC000093.1	17	7910	43	21154	8.8462e-01	1.0573e+00	5.6500e-01	1.8941e+00
AC000120.2	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
AC000120.3	15	7912	32	21165	5.1165e-01	1.2539e+00	6.3062e-01	2.3850e+00
AC001226.2	9	7918	11	21186	8.1601e-02	2.1892e+00	8.0149e-01	5.8138e+00
AC002094.3	4	7923	9	21188	7.5943e-01	1.1885e+00	2.6738e-01	4.2597e+00
AC002310.4	5	7922	15	21182	1.0000e+00	8.9128e-01	2.5334e-01	2.5810e+00
AC002310.5	16	7911	45	21152	1.0000e+00	9.5068e-01	5.0128e-01	1.7156e+00
AC002985.1	4	7923	10	21187	1.0000e+00	1.0696e+00	2.4480e-01	3.7097e+00
AC002996.1	12	7915	30	21167	8.6261e-01	1.0697e+00	4.9854e-01	2.1528e+00
AC003002.1	7	7920	11	21186	2.9058e-01	1.7022e+00	5.5931e-01	4.8102e+00
AC003002.2	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
AC003002.3	7	7920	7	21190	7.0251e-02	2.6754e+00	8.0050e-01	8.9410e+00
AC003005.1	4	7923	6	21191	4.7567e-01	1.7830e+00	3.6998e-01	7.5212e+00
AC003006.1	6	7921	7	21190	1.2956e-01	2.2930e+00	6.3641e-01	7.9706e+00
AC003688.1	2	7925	7	21190	1.0000e+00	7.6397e-01	7.7418e-02	4.0135e+00
AC004076.1	4	7923	9	21188	7.5943e-01	1.1885e+00	2.6738e-01	4.2597e+00
AC004080.3	7	7920	10	21187	2.7236e-01	1.8725e+00	6.0475e-01	5.4511e+00
AC004223.3	5	7922	18	21179	6.4647e-01	7.4264e-01	2.1546e-01	2.0763e+00
AC004233.2	14	7913	51	21146	3.3219e-01	7.3360e-01	3.7475e-01	1.3465e+00
AC004593.3	20	7907	42	21155	3.9170e-01	1.2740e+00	7.0814e-01	2.2205e+00
AC004687.2	12	7915	42	21155	4.4876e-01	7.6367e-01	3.6578e-01	1.4784e+00
AC004691.2	17	7910	68	21129	1.4433e-01	6.6783e-01	3.6762e-01	1.1500e+00
AC004754.1	38	7889	69	21128	6.3671e-02	1.4749e+00	9.6477e-01	2.2247e+00
AC004805.1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
AC004832.3	11	7916	31	21166	1.0000e+00	9.4879e-01	4.3004e-01	1.9405e+00
AC004922.1	30	7897	104	21093	2.4284e-01	7.7050e-01	4.9492e-01	1.1673e+00
AC004997.1	27	7900	49	21148	1.2060e-01	1.4750e+00	8.8581e-01	2.4085e+00
AC005020.2	2	7925	3	21194	6.1810e-01	1.7828e+00	1.4887e-01	1.5561e+01
AC005041.1	14	7913	37	21160	1.0000e+00	1.0118e+00	5.0501e-01	1.9174e+00
AC005154.5	2	7925	6	21191	1.0000e+00	8.9132e-01	8.7956e-02	4.9859e+00
AC005258.1	0	7927	6	21191	1.9913e-01	0.0000e+00	0.0000e+00	2.2710e+00
AC005324.3	14	7913	85	21112	3.0176e-03	4.3944e-01	2.3037e-01	7.7906e-01
