gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
A1BG	[2,0,0,0]	[4554,204,801,2056]	[4,0,0,0]	[7073,2075,3439,7259]	1.5774e-02	9.0005e-01	7.7657e-01
A1CF	[2,0,0,0]	[4554,204,801,2056]	[6,4,0,4]	[7071,2071,3439,7255]	1.2035e+00	2.7262e-01	3.3865e-01
A2M	[4,1,0,1]	[4552,203,801,2055]	[5,3,1,4]	[7072,2072,3438,7255]	3.0273e-02	8.6187e-01	1.2503e+00
A2ML1	[10,4,0,4]	[4546,200,801,2052]	[21,6,0,24]	[7056,2069,3439,7235]	3.9520e-02	8.4242e-01	9.1325e-01
A3GALT2	[3,0,1,1]	[4553,204,800,2055]	[11,2,0,4]	[7066,2073,3439,7255]	4.6936e-01	4.9328e-01	6.3580e-01
A4GALT	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
A4GNT	[0,0,0,1]	[4556,204,801,2055]	[1,0,0,0]	[7076,2075,3439,7259]	3.0775e-02	8.6074e-01	1.9898e+00
AA06	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AAAS	[3,0,0,2]	[4553,204,801,2054]	[9,3,0,4]	[7068,2072,3439,7255]	1.5203e-01	6.9661e-01	7.2339e-01
AACS	[9,0,0,2]	[4547,204,801,2054]	[9,1,0,5]	[7068,2074,3439,7254]	5.9228e-01	4.4154e-01	1.4917e+00
AADAC	[0,0,0,2]	[4556,204,801,2054]	[3,1,0,7]	[7074,2074,3439,7252]	2.4068e-01	6.2371e-01	5.5451e-01
AADACL2	[3,0,0,1]	[4553,204,801,2055]	[3,1,0,4]	[7074,2074,3439,7255]	7.7927e-04	9.7773e-01	1.2130e+00
AADACL3	[2,0,0,0]	[4554,204,801,2056]	[0,1,1,2]	[7077,2074,3438,7257]	9.4365e-06	9.9755e-01	1.6902e+00
AADACL4	[2,0,0,1]	[4554,204,801,2055]	[3,0,0,5]	[7074,2075,3439,7254]	2.1279e-02	8.8402e-01	8.7594e-01
AADAT	[3,0,0,0]	[4553,204,801,2056]	[0,1,0,2]	[7077,2074,3439,7257]	5.5312e-01	4.5705e-01	3.4374e+00
AAGAB	[1,0,0,3]	[4555,204,801,2053]	[3,2,0,2]	[7074,2073,3439,7257]	2.1441e-01	6.4333e-01	1.6413e+00
AAMDC	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
AAMP	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
AAR2	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,2]	[7076,2074,3439,7257]	2.6907e-01	6.0396e-01	0.0000e+00
AARD	[3,0,0,1]	[4553,204,801,2055]	[3,1,0,1]	[7074,2074,3439,7258]	2.0674e-01	6.4933e-01	1.7540e+00
AARS	[5,0,0,0]	[4551,204,801,2056]	[3,4,0,1]	[7074,2071,3439,7258]	2.5851e-01	6.1115e-01	1.7350e+00
AARS2	[5,0,0,2]	[4551,204,801,2054]	[6,2,0,13]	[7071,2073,3439,7246]	1.6564e-02	8.9759e-01	8.5204e-01
AARSD1	[3,0,0,0]	[4553,204,801,2056]	[5,1,0,4]	[7072,2074,3439,7255]	1.3712e-01	7.1116e-01	6.2259e-01
AASDH	[7,0,0,8]	[4549,204,801,2048]	[7,3,2,9]	[7070,2072,3437,7250]	3.1360e+00	7.6584e-02	1.9545e+00
AASDHPPT	[2,0,1,2]	[4554,204,800,2054]	[1,1,0,2]	[7076,2074,3439,7257]	2.8597e+00	9.0823e-02	3.8891e+00
AASS	[2,0,0,1]	[4554,204,801,2055]	[4,1,0,9]	[7073,2074,3439,7250]	4.0716e-01	5.2342e-01	5.4776e-01
AATF	[4,0,1,1]	[4552,204,800,2055]	[5,2,0,7]	[7072,2073,3439,7252]	6.5521e-03	9.3549e-01	1.0928e+00
