gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
A1BG	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
A1CF	2	7698	14	20840	2.6418e-01	3.8672e-01	4.2653e-02	1.6845e+00
A2M	6	7694	15	20839	8.0983e-01	1.0834e+00	3.4426e-01	2.9562e+00
A2ML1	18	7682	52	20802	8.9322e-01	9.3735e-01	5.1570e-01	1.6302e+00
A3GALT2	5	7695	17	20837	8.1195e-01	7.9644e-01	2.2964e-01	2.2499e+00
A4GALT	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
A4GNT	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
AA06	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
AAAS	5	7695	16	20838	1.0000e+00	8.4626e-01	2.4237e-01	2.4185e+00
AACS	11	7689	15	20839	1.1824e-01	1.9875e+00	8.2531e-01	4.6335e+00
AADAC	2	7698	12	20842	3.7751e-01	4.5124e-01	4.9043e-02	2.0276e+00
AADACL2	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
AADACL3	2	7698	5	20849	1.0000e+00	1.0834e+00	1.0312e-01	6.6190e+00
AADACL4	3	7697	9	20845	1.0000e+00	9.0274e-01	1.5714e-01	3.6187e+00
AADAT	3	7697	3	20851	3.5343e-01	2.7089e+00	3.6274e-01	2.0229e+01
AAGAB	4	7696	7	20847	5.0160e-01	1.5479e+00	3.3219e-01	6.0907e+00
AAMDC	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
AAMP	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
AAR2	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
AARD	4	7696	5	20849	2.6339e-01	2.1672e+00	4.2992e-01	1.0073e+01
AARS	5	7695	8	20846	3.5541e-01	1.6931e+00	4.3564e-01	5.8724e+00
AARS2	7	7693	22	20832	8.3652e-01	8.6162e-01	3.1075e-01	2.0894e+00
AARSD1	3	7697	10	20844	1.0000e+00	8.1243e-01	1.4361e-01	3.1566e+00
AASDH	15	7685	23	20831	9.8417e-02	1.7677e+00	8.5730e-01	3.5391e+00
AASDHPPT	5	7695	5	20849	1.4633e-01	2.7093e+00	6.2334e-01	1.1773e+01
AASS	3	7697	15	20839	4.3121e-01	5.4148e-01	1.0045e-01	1.9149e+00
AATF	7	7693	16	20838	6.4646e-01	1.1850e+00	4.1212e-01	3.0461e+00
AATK	6	7694	13	20841	6.1235e-01	1.2502e+00	3.8949e-01	3.5269e+00
ABAT	1	7699	5	20849	1.0000e+00	5.4159e-01	1.1453e-02	4.8414e+00
ABCA1	11	7689	12	20842	3.2834e-02	2.4847e+00	9.9291e-01	6.1538e+00
ABCA10	16	7684	48	20806	7.7977e-01	9.0257e-01	4.7811e-01	1.6188e+00
ABCA12	11	7689	15	20839	1.1824e-01	1.9875e+00	8.2531e-01	4.6335e+00
ABCA13	37	7663	112	20742	6.4352e-01	8.9421e-01	5.9869e-01	1.3086e+00
