gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
A1BG	[6,0,0,4]	[4550,204,801,2052]	[11,5,0,7]	[7066,2070,3439,7252]	1.7625e-04	9.8941e-01	1.0742e+00
A1CF	[9,0,0,0]	[4547,204,801,2056]	[13,5,1,9]	[7064,2070,3438,7250]	4.1213e-01	5.2089e-01	7.0937e-01
A2M	[10,0,1,7]	[4546,204,800,2049]	[17,6,2,22]	[7060,2069,3437,7237]	1.4359e-02	9.0462e-01	9.9362e-01
A2ML1	[10,2,0,4]	[4546,202,801,2052]	[10,5,0,21]	[7067,2070,3439,7238]	2.4109e-01	6.2342e-01	1.2253e+00
A3GALT2	[5,2,0,2]	[4551,202,801,2054]	[12,1,0,5]	[7065,2074,3439,7254]	1.4758e-04	9.9031e-01	1.0898e+00
A4GALT	[7,0,0,3]	[4549,204,801,2053]	[5,2,1,9]	[7072,2073,3438,7250]	6.0785e-01	4.3560e-01	1.5303e+00
A4GNT	[2,0,0,2]	[4554,204,801,2054]	[3,3,0,7]	[7074,2072,3439,7252]	2.7578e-02	8.6810e-01	9.2860e-01
AAAS	[6,0,0,0]	[4550,204,801,2056]	[12,2,0,5]	[7065,2073,3439,7254]	6.3281e-01	4.2633e-01	6.0975e-01
AACS	[3,0,0,0]	[4553,204,801,2056]	[11,3,2,13]	[7066,2072,3437,7246]	4.9440e+00	2.6181e-02	2.3299e-01
AADAC	[1,1,0,1]	[4555,203,801,2055]	[11,1,1,7]	[7066,2074,3438,7252]	2.4435e+00	1.1802e-01	3.7459e-01
AADACL2	[2,0,0,0]	[4554,204,801,2056]	[9,0,0,6]	[7068,2075,3439,7253]	2.6882e+00	1.0110e-01	2.5067e-01
AADACL3	[3,0,0,1]	[4553,204,801,2055]	[2,2,0,4]	[7075,2073,3439,7255]	3.0342e-02	8.6172e-01	1.4116e+00
AADACL4	[3,0,0,1]	[4553,204,801,2055]	[3,0,1,1]	[7074,2075,3438,7258]	1.4027e-01	7.0802e-01	1.6439e+00
AADAT	[1,0,0,0]	[4555,204,801,2056]	[6,1,1,6]	[7071,2074,3438,7253]	2.7581e+00	9.6765e-02	1.5380e-01
AAGAB	[0,0,0,4]	[4556,204,801,2052]	[1,0,1,4]	[7076,2075,3438,7255]	7.5348e-01	3.8538e-01	2.1313e+00
AAK1	[15,0,1,2]	[4541,204,800,2054]	[12,3,2,12]	[7065,2072,3437,7247]	9.4483e-01	3.3104e-01	1.4388e+00
AAMDC	[2,0,0,0]	[4554,204,801,2056]	[2,0,1,6]	[7075,2075,3438,7253]	1.5728e-01	6.9168e-01	5.2974e-01
AAMP	[7,1,0,2]	[4549,203,801,2054]	[5,0,0,8]	[7072,2075,3439,7251]	1.3461e+00	2.4596e-01	1.8076e+00
