gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
A1BG	10	7690	25	20829	8.4931e-01	1.0834e+00	4.6416e-01	2.3371e+00
A1CF	9	7691	29	20825	7.1846e-01	8.4033e-01	3.4978e-01	1.8244e+00
A2M	18	7682	49	20805	1.0000e+00	9.9488e-01	5.4510e-01	1.7399e+00
A2ML1	16	7684	38	20816	6.4693e-01	1.1406e+00	5.9339e-01	2.0965e+00
A3GALT2	9	7691	19	20835	5.2662e-01	1.2832e+00	5.1108e-01	2.9780e+00
A4GALT	10	7690	19	20835	4.0205e-01	1.4260e+00	5.9200e-01	3.2247e+00
A4GNT	4	7696	13	20841	1.0000e+00	8.3325e-01	1.9786e-01	2.6982e+00
AAAS	6	7694	23	20831	5.3471e-01	7.0631e-01	2.3516e-01	1.7853e+00
AACS	3	7697	29	20825	2.6532e-02	2.7988e-01	5.4553e-02	9.0339e-01
AADAC	3	7697	24	20830	8.0519e-02	3.3827e-01	6.5185e-02	1.1144e+00
AADACL2	2	7698	18	20836	1.2731e-01	3.0073e-01	3.3827e-02	1.2567e+00
AADACL3	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
AADACL4	4	7696	6	20848	4.7425e-01	1.8059e+00	3.7473e-01	7.6177e+00
AADAT	1	7699	15	20839	8.6917e-02	1.8045e-01	4.2897e-03	1.1733e+00
AAGAB	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
AAK1	18	7682	29	20825	9.8434e-02	1.6826e+00	8.7943e-01	3.1362e+00
AAMDC	2	7698	12	20842	3.7751e-01	4.5124e-01	4.9043e-02	2.0276e+00
AAMP	10	7690	13	20841	9.6946e-02	2.0847e+00	8.1791e-01	5.1489e+00
AANAT	5	7695	13	20841	1.0000e+00	1.0417e+00	2.9067e-01	3.1149e+00
AAR2	3	7697	9	20845	1.0000e+00	9.0274e-01	1.5714e-01	3.6187e+00
AARD	2	7698	10	20844	5.3300e-01	5.4153e-01	5.7685e-02	2.5421e+00
AARS	20	7680	44	20810	4.8055e-01	1.2317e+00	6.8722e-01	2.1357e+00
AARS2	12	7688	37	20817	8.7201e-01	8.7819e-01	4.1670e-01	1.7229e+00
AARSD1	11	7689	14	20840	6.9458e-02	2.1296e+00	8.7445e-01	5.0521e+00
AASDH	11	7689	27	20827	8.5487e-01	1.1035e+00	4.9373e-01	2.2999e+00
AASDHPPT	1	7699	10	20844	3.0817e-01	2.7073e-01	6.2414e-03	1.9037e+00
AASS	10	7690	25	20829	8.4931e-01	1.0834e+00	4.6416e-01	2.3371e+00
AATF	2	7698	22	20832	3.8644e-02	2.4601e-01	2.8034e-02	1.0012e+00
AATK	38	7662	83	20771	2.6084e-01	1.2412e+00	8.2160e-01	1.8448e+00
ABAT	8	7692	16	20838	4.9253e-01	1.3545e+00	5.0167e-01	3.3560e+00
ABCA1	23	7677	66	20788	9.0493e-01	9.4364e-01	5.5970e-01	1.5385e+00
ABCA10	27	7673	37	20817	1.0330e-02	1.9798e+00	1.1584e+00	3.3430e+00
ABCA12	36	7664	78	20776	2.8997e-01	1.2512e+00	8.1783e-01	1.8817e+00
ABCA13	55	7645	155	20699	8.7599e-01	9.6070e-01	6.9224e-01	1.3164e+00
ABCA2	50	7650	157	20697	3.8784e-01	8.6163e-01	6.1309e-01	1.1929e+00
ABCA3	36	7664	77	20777	2.4343e-01	1.2675e+00	8.2786e-01	1.9081e+00
ABCA4	27	7673	80	20774	7.4415e-01	9.1376e-01	5.6725e-01	1.4305e+00
ABCA5	7	7693	46	20808	2.8651e-02	4.1164e-01	1.5672e-01	9.1843e-01
ABCA6	9	7691	50	20804	4.0513e-02	4.8689e-01	2.1040e-01	1.0007e+00
ABCA7	40	7660	101	20753	7.0403e-01	1.0730e+00	7.2394e-01	1.5635e+00
ABCA8	20	7680	43	20811	3.9516e-01	1.2604e+00	7.0191e-01	2.1910e+00
ABCA9	23	7677	49	20805	3.5251e-01	1.2721e+00	7.3913e-01	2.1298e+00
ABCB1	10	7690	23	20831	6.9524e-01	1.1777e+00	5.0014e-01	2.5741e+00
ABCB10	13	7687	35	20819	1.0000e+00	1.0060e+00	4.8813e-01	1.9501e+00
ABCB11	19	7681	48	20806	7.8374e-01	1.0722e+00	5.9481e-01	1.8598e+00
ABCB4	14	7686	38	20816	1.0000e+00	9.9780e-01	4.9911e-01	1.8853e+00
ABCB5	15	7685	47	20807	6.7043e-01	8.6410e-01	4.4848e-01	1.5739e+00
ABCB6	9	7691	38	20816	2.5360e-01	6.4106e-01	2.7244e-01	1.3496e+00
ABCB7	5	7695	18	20836	8.1418e-01	7.5217e-01	2.1822e-01	2.1030e+00
ABCB8	6	7694	31	20823	1.9291e-01	5.2381e-01	1.7860e-01	1.2751e+00
ABCB9	17	7683	31	20823	1.9405e-01	1.4863e+00	7.7114e-01	2.7716e+00
ABCC1	33	7667	58	20796	5.7442e-02	1.5432e+00	9.7404e-01	2.4083e+00
ABCC10	23	7677	63	20791	1.0000e+00	9.8871e-01	5.8474e-01	1.6180e+00
ABCC11	18	7682	45	20809	7.7682e-01	1.0835e+00	5.8994e-01	1.9108e+00
ABCC12	22	7678	43	20811	2.0996e-01	1.3867e+00	7.8944e-01	2.3718e+00
ABCC2	22	7678	41	20813	1.5681e-01	1.4545e+00	8.2457e-01	2.5013e+00
ABCC3	17	7683	48	20806	1.0000e+00	9.5913e-01	5.1674e-01	1.6993e+00
ABCC4	12	7688	44	20810	4.5081e-01	7.3824e-01	3.5471e-01	1.4229e+00
ABCC5	20	7680	54	20800	1.0000e+00	1.0031e+00	5.6836e-01	1.7047e+00
ABCC6	23	7677	51	20803	4.3212e-01	1.2221e+00	7.1225e-01	2.0378e+00
ABCC8	30	7670	58	20796	1.4821e-01	1.4024e+00	8.7040e-01	2.2176e+00
ABCC9	14	7686	33	20821	6.2546e-01	1.1492e+00	5.6789e-01	2.2083e+00
ABCD1	10	7690	26	20828	8.5326e-01	1.0417e+00	4.4804e-01	2.2340e+00
ABCD2	9	7691	22	20832	8.3974e-01	1.1081e+00	4.4891e-01	2.5051e+00
ABCD3	11	7689	18	20836	2.0830e-01	1.6560e+00	7.0644e-01	3.7042e+00
ABCD4	5	7695	25	20829	3.0189e-01	5.4136e-01	1.6180e-01	1.4405e+00
ABCE1	5	7695	15	20839	1.0000e+00	9.0271e-01	2.5660e-01	2.6141e+00
ABCF1	4	7696	23	20831	1.9468e-01	4.7073e-01	1.1830e-01	1.3784e+00
ABCF2	6	7694	16	20838	1.0000e+00	1.0156e+00	3.2539e-01	2.7336e+00
ABCF3	9	7691	12	20842	1.3616e-01	2.0325e+00	7.5600e-01	5.2576e+00
ABCG1	11	7689	28	20826	8.5746e-01	1.0641e+00	4.7778e-01	2.2060e+00
ABCG2	9	7691	26	20828	1.0000e+00	9.3742e-01	3.8629e-01	2.0656e+00
ABCG4	13	7687	22	20832	1.8367e-01	1.6014e+00	7.4065e-01	3.3242e+00
ABCG5	6	7694	28	20826	2.5172e-01	5.8001e-01	1.9629e-01	1.4285e+00
ABCG8	7	7693	24	20830	6.8851e-01	7.8975e-01	2.8723e-01	1.8901e+00
ABHD1	4	7696	12	20842	1.0000e+00	9.0272e-01	2.1214e-01	2.9797e+00
ABHD10	6	7694	8	20846	2.2513e-01	2.0321e+00	5.8090e-01	6.6818e+00
ABHD11	3	7697	17	20837	3.1536e-01	4.7773e-01	8.9673e-02	1.6524e+00
ABHD12	3	7697	17	20837	3.1536e-01	4.7773e-01	8.9673e-02	1.6524e+00
ABHD12B	4	7696	9	20845	7.5782e-01	1.2037e+00	2.7081e-01	4.3143e+00
ABHD13	10	7690	10	20844	3.9152e-02	2.7104e+00	1.0120e+00	7.2577e+00
ABHD14A	9	7691	10	20844	6.5926e-02	2.4391e+00	8.7660e-01	6.6818e+00
ABHD14A-ACY1	6	7694	9	20845	2.5352e-01	1.8061e+00	5.2882e-01	5.6837e+00
ABHD14B	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
ABHD15	3	7697	20	20834	1.6164e-01	4.0605e-01	7.7238e-02	1.3696e+00
ABHD16A	3	7697	16	20838	4.3683e-01	5.0761e-01	9.4758e-02	1.7740e+00
ABHD16B	10	7690	27	20827	1.0000e+00	1.0031e+00	4.3302e-01	2.1395e+00
ABHD17A	6	7694	19	20835	8.2572e-01	8.5515e-01	2.7942e-01	2.2282e+00
ABHD17B	3	7697	11	20843	7.7141e-01	7.3855e-01	1.3228e-01	2.7967e+00
ABHD17C	12	7688	16	20838	8.4940e-02	2.0329e+00	8.7730e-01	4.5824e+00
ABHD18	3	7697	11	20843	7.7141e-01	7.3855e-01	1.3228e-01	2.7967e+00
ABHD2	4	7696	19	20835	3.5681e-01	5.6994e-01	1.4099e-01	1.7158e+00
ABHD3	5	7695	7	20847	3.2579e-01	1.9352e+00	4.8416e-01	7.0851e+00
ABHD4	3	7697	13	20841	5.8185e-01	6.2483e-01	1.1421e-01	2.2747e+00
ABHD5	4	7696	15	20839	7.9626e-01	7.2210e-01	1.7441e-01	2.2675e+00
ABHD6	3	7697	11	20843	7.7141e-01	7.3855e-01	1.3228e-01	2.7967e+00
ABHD8	9	7691	24	20830	1.0000e+00	1.0156e+00	4.1527e-01	2.2644e+00
ABI1	3	7697	17	20837	3.1536e-01	4.7773e-01	8.9673e-02	1.6524e+00
ABI2	9	7691	15	20839	2.5303e-01	1.6257e+00	6.2700e-01	3.9666e+00
ABI3	7	7693	11	20843	2.8767e-01	1.7241e+00	5.6644e-01	4.8720e+00
ABI3BP	7	7693	33	20821	2.1341e-01	5.7409e-01	2.1423e-01	1.3205e+00
ABL1	22	7678	59	20795	1.0000e+00	1.0099e+00	5.8883e-01	1.6745e+00
ABL2	15	7685	41	20813	1.0000e+00	9.9083e-01	5.0914e-01	1.8296e+00
ABLIM1	11	7689	22	20832	4.3316e-01	1.3546e+00	5.9284e-01	2.9164e+00
ABLIM2	11	7689	26	20828	7.1196e-01	1.1460e+00	5.1082e-01	2.4016e+00
ABLIM3	8	7692	21	20833	1.0000e+00	1.0318e+00	3.9503e-01	2.4261e+00
ABO	4	7696	20	20834	3.5775e-01	5.4142e-01	1.3450e-01	1.6170e+00
ABR	12	7688	37	20817	8.7201e-01	8.7819e-01	4.1670e-01	1.7229e+00
ABRA	4	7696	14	20840	7.9444e-01	7.7370e-01	1.8539e-01	2.4646e+00
ABRACL	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
ABRAXAS1	7	7693	12	20842	3.1235e-01	1.5803e+00	5.2695e-01	4.3556e+00
ABRAXAS2	8	7692	16	20838	4.9253e-01	1.3545e+00	5.0167e-01	3.3560e+00
ABT1	8	7692	10	20844	1.1076e-01	2.1678e+00	7.4317e-01	6.1029e+00
ABTB1	10	7690	25	20829	8.4931e-01	1.0834e+00	4.6416e-01	2.3371e+00
ABTB2	21	7679	35	20819	9.5788e-02	1.6267e+00	8.9917e-01	2.8753e+00
AC000093.1	6	7694	19	20835	8.2572e-01	8.5515e-01	2.7942e-01	2.2282e+00
AC000120.2	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
AC000120.3	2	7698	8	20846	1.0000e+00	6.7703e-01	7.0021e-02	3.3935e+00
AC001226.2	3	7697	4	20850	3.9619e-01	2.0317e+00	2.9755e-01	1.2012e+01
AC002310.4	1	7699	7	20847	6.9097e-01	3.8680e-01	8.5855e-03	3.0117e+00
AC002985.1	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
AC002996.1	2	7698	14	20840	2.6418e-01	3.8672e-01	4.2653e-02	1.6845e+00
AC003002.1	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
AC003002.2	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
AC003005.1	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
AC003006.1	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
AC003688.1	0	7700	5	20849	3.3307e-01	0.0000e+00	0.0000e+00	2.9556e+00
AC004076.1	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
AC004080.3	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
AC004223.3	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
AC004233.2	3	7697	18	20836	2.2726e-01	4.5117e-01	8.5106e-02	1.5461e+00
AC004593.3	6	7694	21	20833	6.6975e-01	7.7364e-01	2.5538e-01	1.9826e+00
AC004687.2	6	7694	21	20833	6.6975e-01	7.7364e-01	2.5538e-01	1.9826e+00
AC004691.2	5	7695	21	20833	5.0801e-01	6.4464e-01	1.8985e-01	1.7574e+00
AC004754.1	14	7686	27	20827	2.9438e-01	1.4050e+00	6.8058e-01	2.7766e+00
AC004832.3	4	7696	18	20836	4.7351e-01	6.0162e-01	1.4806e-01	1.8272e+00
AC004922.1	10	7690	23	20831	6.9524e-01	1.1777e+00	5.0014e-01	2.5741e+00
AC004997.1	11	7689	18	20836	2.0830e-01	1.6560e+00	7.0644e-01	3.7042e+00
AC005020.2	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
AC005041.1	10	7690	23	20831	6.9524e-01	1.1777e+00	5.0014e-01	2.5741e+00
AC005154.5	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
AC005258.1	1	7699	10	20844	3.0817e-01	2.7073e-01	6.2414e-03	1.9037e+00
AC005324.3	8	7692	24	20830	1.0000e+00	9.0267e-01	3.5040e-01	2.0781e+00
AC005324.4	4	7696	13	20841	1.0000e+00	8.3325e-01	1.9786e-01	2.6982e+00
AC005520.1	0	7700	9	20845	1.2494e-01	0.0000e+00	0.0000e+00	1.3719e+00
AC005551.1	4	7696	12	20842	1.0000e+00	9.0272e-01	2.1214e-01	2.9797e+00
AC005670.2	8	7692	7	20847	3.6106e-02	3.0972e+00	9.8108e-01	1.0037e+01
AC005697.1	2	7698	6	20848	1.0000e+00	9.0275e-01	8.9083e-02	5.0498e+00
AC005702.1	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
AC005726.1	7	7693	10	20844	1.8244e-01	1.8965e+00	6.1247e-01	5.5220e+00
AC005779.2	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
AC005833.1	7	7693	8	20846	1.3975e-01	2.3710e+00	7.3163e-01	7.4835e+00
AC005837.2	1	7699	6	20848	6.8265e-01	4.5131e-01	9.8142e-03	3.7213e+00
AC005943.1	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
AC006030.1	5	7695	12	20842	7.8828e-01	1.1285e+00	3.1138e-01	3.4427e+00
AC006059.2	10	7690	19	20835	4.0205e-01	1.4260e+00	5.9200e-01	3.2247e+00
AC006064.6	18	7682	42	20812	5.6375e-01	1.1611e+00	6.2867e-01	2.0627e+00
