gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
A1BG	27	7673	56	20798	2.6516e-01	1.3069e+00	7.9305e-01	2.1057e+00
A1CF	14	7686	47	20807	5.6435e-01	8.0639e-01	4.0977e-01	1.4909e+00
A2M	34	7666	94	20760	1.0000e+00	9.7950e-01	6.4077e-01	1.4656e+00
A2ML1	43	7657	127	20727	6.6537e-01	9.1652e-01	6.3225e-01	1.3060e+00
A3GALT2	20	7680	39	20815	2.4064e-01	1.3899e+00	7.6751e-01	2.4435e+00
A4GALT	23	7677	51	20803	4.3212e-01	1.2221e+00	7.1225e-01	2.0378e+00
A4GNT	9	7691	33	20821	4.8955e-01	7.3835e-01	3.1060e-01	1.5781e+00
AAAS	16	7684	56	20798	4.2579e-01	7.7335e-01	4.1381e-01	1.3684e+00
AACS	18	7682	73	20781	1.5483e-01	6.6706e-01	3.7442e-01	1.1300e+00
AADAC	11	7689	38	20816	5.2405e-01	7.8369e-01	3.6111e-01	1.5655e+00
AADACL2	7	7693	35	20819	1.6372e-01	5.4124e-01	2.0279e-01	1.2373e+00
AADACL3	14	7686	39	20815	1.0000e+00	9.7215e-01	4.8728e-01	1.8315e+00
AADACL4	14	7686	32	20822	6.1844e-01	1.1852e+00	5.8400e-01	2.2864e+00
AADAT	12	7688	31	20823	8.6451e-01	1.0485e+00	4.9009e-01	2.1010e+00
AAGAB	9	7691	20	20834	6.7554e-01	1.2190e+00	4.8852e-01	2.8023e+00
AAK1	26	7674	56	20798	3.2140e-01	1.2583e+00	7.5783e-01	2.0393e+00
AAMDC	9	7691	19	20835	5.2662e-01	1.2832e+00	5.1108e-01	2.9780e+00
AAMP	16	7684	33	20821	4.1994e-01	1.3138e+00	6.7482e-01	2.4571e+00
AANAT	12	7688	31	20823	8.6451e-01	1.0485e+00	4.9009e-01	2.1010e+00
AAR2	8	7692	26	20828	8.4672e-01	8.3316e-01	3.2584e-01	1.8960e+00
AARD	4	7696	12	20842	1.0000e+00	9.0272e-01	2.1214e-01	2.9797e+00
AARS	30	7670	99	20755	3.7196e-01	8.2001e-01	5.2548e-01	1.2459e+00
AARS2	36	7664	90	20764	6.8776e-01	1.0837e+00	7.1433e-01	1.6133e+00
AARSD1	33	7667	46	20808	4.8306e-03	1.9470e+00	1.2051e+00	3.1142e+00
AASDH	25	7675	80	20774	5.0996e-01	8.4586e-01	5.1668e-01	1.3410e+00
AASDHPPT	7	7693	21	20833	1.0000e+00	9.0269e-01	3.2404e-01	2.2052e+00
AASS	22	7678	52	20802	6.0048e-01	1.1462e+00	6.6245e-01	1.9222e+00
AATF	15	7685	51	20803	4.8983e-01	7.9618e-01	4.1552e-01	1.4395e+00
AATK	101	7599	205	20649	1.9571e-02	1.3388e+00	1.0427e+00	1.7098e+00
ABAT	26	7674	64	20790	7.2118e-01	1.1006e+00	6.6899e-01	1.7628e+00
ABCA1	75	7625	219	20635	5.9776e-01	9.2679e-01	7.0232e-01	1.2116e+00
ABCA10	49	7651	87	20767	1.9924e-02	1.5287e+00	1.0534e+00	2.1964e+00
ABCA12	73	7627	181	20673	5.2307e-01	1.0932e+00	8.2026e-01	1.4442e+00
ABCA13	133	7567	365	20489	9.1894e-01	9.8663e-01	8.0137e-01	1.2088e+00
ABCA2	151	7549	443	20411	4.0084e-01	9.2162e-01	7.5959e-01	1.1133e+00
ABCA3	105	7595	230	20624	7.2546e-02	1.2397e+00	9.7308e-01	1.5707e+00
ABCA4	71	7629	190	20664	9.4416e-01	1.0122e+00	7.5848e-01	1.3379e+00
ABCA5	35	7665	99	20755	9.2229e-01	9.5732e-01	6.3110e-01	1.4220e+00
ABCA6	30	7670	108	20746	1.7888e-01	7.5136e-01	4.8341e-01	1.1360e+00
ABCA7	105	7595	251	20603	2.7973e-01	1.1348e+00	8.9347e-01	1.4330e+00
ABCA8	65	7635	129	20725	4.2443e-02	1.3677e+00	9.9791e-01	1.8591e+00
ABCA9	49	7651	103	20751	1.4327e-01	1.2903e+00	8.9793e-01	1.8320e+00
ABCB1	29	7671	75	20779	8.2522e-01	1.0474e+00	6.5711e-01	1.6291e+00
ABCB10	30	7670	83	20771	1.0000e+00	9.7882e-01	6.2167e-01	1.5038e+00
ABCB11	46	7654	114	20740	5.9307e-01	1.0934e+00	7.5813e-01	1.5542e+00
ABCB4	29	7671	95	20759	4.1756e-01	8.2610e-01	5.2490e-01	1.2648e+00
ABCB5	37	7663	92	20762	6.9084e-01	1.0896e+00	7.2239e-01	1.6137e+00
ABCB6	29	7671	88	20766	6.7644e-01	8.9211e-01	5.6466e-01	1.3724e+00
ABCB7	7	7693	22	20832	8.3652e-01	8.6162e-01	3.1075e-01	2.0894e+00
ABCB8	22	7678	84	20770	1.5568e-01	7.0851e-01	4.2143e-01	1.1449e+00
ABCB9	51	7649	103	20751	1.0069e-01	1.3433e+00	9.3991e-01	1.8988e+00
ABCC1	86	7614	224	20630	7.4795e-01	1.0402e+00	8.0044e-01	1.3416e+00
ABCC10	64	7636	164	20690	7.0818e-01	1.0574e+00	7.7839e-01	1.4216e+00
ABCC11	55	7645	115	20739	1.1871e-01	1.2974e+00	9.2219e-01	1.8062e+00
ABCC12	43	7657	90	20764	1.7043e-01	1.2956e+00	8.7834e-01	1.8852e+00
ABCC2	41	7659	92	20762	3.2751e-01	1.2080e+00	8.1417e-01	1.7655e+00
ABCC3	65	7635	159	20695	4.9652e-01	1.1081e+00	8.1619e-01	1.4896e+00
ABCC4	45	7655	129	20725	7.9741e-01	9.4444e-01	6.5648e-01	1.3370e+00
ABCC5	41	7659	130	20724	4.3657e-01	8.5339e-01	5.8489e-01	1.2221e+00
ABCC6	65	7635	143	20711	1.8219e-01	1.2330e+00	9.0403e-01	1.6665e+00
ABCC8	75	7625	170	20684	1.9389e-01	1.1967e+00	8.9838e-01	1.5815e+00
ABCC9	38	7662	101	20753	9.2377e-01	1.0191e+00	6.8191e-01	1.4949e+00
ABCD1	22	7678	51	20803	5.1236e-01	1.1687e+00	6.7450e-01	1.9636e+00
ABCD2	17	7683	40	20814	6.5426e-01	1.1513e+00	6.1163e-01	2.0790e+00
ABCD3	19	7681	33	20821	1.2024e-01	1.5607e+00	8.3791e-01	2.8282e+00
ABCD4	30	7670	80	20774	9.1465e-01	1.0157e+00	6.4378e-01	1.5645e+00
ABCE1	8	7692	30	20824	4.6965e-01	7.2195e-01	2.8585e-01	1.6127e+00
ABCF1	16	7684	57	20797	3.5864e-01	7.5975e-01	4.0697e-01	1.3425e+00
ABCF2	14	7686	45	20809	6.6074e-01	8.4231e-01	4.2673e-01	1.5636e+00
ABCF3	22	7678	53	20801	6.9587e-01	1.1245e+00	6.5083e-01	1.8825e+00
ABCG1	38	7662	104	20750	1.0000e+00	9.8952e-01	6.6312e-01	1.4491e+00
ABCG2	21	7679	45	20809	4.0455e-01	1.2646e+00	7.1508e-01	2.1691e+00
ABCG4	31	7669	63	20791	2.0033e-01	1.3340e+00	8.3787e-01	2.0840e+00
ABCG5	24	7676	57	20797	6.1612e-01	1.1408e+00	6.7653e-01	1.8694e+00
ABCG8	26	7674	71	20783	1.0000e+00	9.9175e-01	6.0675e-01	1.5755e+00
ABHD1	16	7684	28	20826	1.7390e-01	1.5487e+00	7.8225e-01	2.9650e+00
ABHD10	7	7693	11	20843	2.8767e-01	1.7241e+00	5.6644e-01	4.8720e+00
ABHD11	15	7685	35	20819	6.3341e-01	1.1610e+00	5.8874e-01	2.1832e+00
ABHD12	11	7689	48	20806	1.8569e-01	6.2009e-01	2.9025e-01	1.2117e+00
ABHD12B	15	7685	25	20829	1.5284e-01	1.6262e+00	7.9665e-01	3.2092e+00
ABHD13	19	7681	24	20830	1.5257e-02	2.1469e+00	1.1111e+00	4.0916e+00
ABHD14A	11	7689	23	20831	4.4630e-01	1.2957e+00	5.6994e-01	2.7686e+00
ABHD14A-ACY1	8	7692	18	20836	6.6075e-01	1.2039e+00	4.5275e-01	2.9116e+00
ABHD14B	2	7698	9	20845	7.3805e-01	6.0173e-01	6.3254e-02	2.9082e+00
ABHD15	24	7676	57	20797	6.1612e-01	1.1408e+00	6.7653e-01	1.8694e+00
ABHD16A	14	7686	33	20821	6.2546e-01	1.1492e+00	5.6789e-01	2.2083e+00
ABHD16B	19	7681	52	20802	1.0000e+00	9.8955e-01	5.5212e-01	1.7035e+00
ABHD17A	28	7672	83	20771	7.4831e-01	9.1334e-01	5.7232e-01	1.4181e+00
ABHD17B	11	7689	35	20819	7.4084e-01	8.5098e-01	3.8968e-01	1.7153e+00
ABHD17C	16	7684	28	20826	1.7390e-01	1.5487e+00	7.8225e-01	2.9650e+00
ABHD18	9	7691	27	20827	1.0000e+00	9.0266e-01	3.7333e-01	1.9784e+00
ABHD2	16	7684	40	20814	7.6451e-01	1.0835e+00	5.6611e-01	1.9798e+00
ABHD3	12	7688	23	20831	3.4202e-01	1.4137e+00	6.4071e-01	2.9619e+00
ABHD4	9	7691	30	20824	7.1869e-01	8.1229e-01	3.3904e-01	1.7560e+00
ABHD5	8	7692	31	20823	4.7050e-01	6.9863e-01	2.7734e-01	1.5546e+00
ABHD6	8	7692	31	20823	4.7050e-01	6.9863e-01	2.7734e-01	1.5546e+00
ABHD8	13	7687	38	20816	8.7591e-01	9.2641e-01	4.5257e-01	1.7790e+00
ABI1	6	7694	30	20824	1.9113e-01	5.4130e-01	1.8413e-01	1.3225e+00
ABI2	22	7678	45	20809	2.7272e-01	1.3250e+00	7.5718e-01	2.2549e+00
ABI3	18	7682	42	20812	5.6375e-01	1.1611e+00	6.2867e-01	2.0627e+00
ABI3BP	23	7677	73	20781	5.6556e-01	8.5287e-01	5.0886e-01	1.3801e+00
ABL1	49	7651	147	20707	5.7243e-01	9.0215e-01	6.3842e-01	1.2558e+00
ABL2	39	7661	96	20758	6.2715e-01	1.1008e+00	7.3771e-01	1.6144e+00
ABLIM1	31	7669	86	20768	1.0000e+00	9.7615e-01	6.2503e-01	1.4888e+00
ABLIM2	32	7668	98	20756	6.2054e-01	8.8387e-01	5.7312e-01	1.3307e+00
ABLIM3	24	7676	64	20790	1.0000e+00	1.0157e+00	6.0700e-01	1.6482e+00
ABO	13	7687	51	20803	2.6106e-01	6.8986e-01	3.4398e-01	1.2877e+00
ABR	30	7670	105	20749	2.4341e-01	7.7294e-01	4.9669e-01	1.1704e+00
ABRA	8	7692	32	20822	3.7629e-01	6.7677e-01	2.6932e-01	1.5004e+00
ABRACL	4	7696	10	20844	1.0000e+00	1.0834e+00	2.4794e-01	3.7575e+00
